query_id,record_id,site_id,form_name,field_name,query_type,query_status,raised_by,raised_date,closed_date,days_open,query_text,country
1,1007,Aarau,Labs,lab_glucose,Logic discrepancy,Open,Data Manager,2025-07-04,NA,101,Value inconsistent with related field.,Switzerland
2,1030,Paris,Visit CRF,weight,Missing data,Answered,Data Manager,2025-06-29,NA,106,"Field left empty, please verify.",France
3,1064,Sion,Con Meds,ae_start,Missing data,Answered,System Check,2025-03-15,NA,212,"Field left empty, please verify.",Switzerland
4,1113,Baden,Adverse Events,bp_dia,Incorrect date,Open,Monitor,2025-05-24,NA,142,Date seems inconsistent with visit schedule.,Switzerland
5,1104,Aarau,Labs,age,Logic discrepancy,Answered,Monitor,2025-01-19,NA,267,Value inconsistent with related field.,Switzerland
6,1042,Luzern,Vitals,age,Logic discrepancy,Open,Monitor,2025-01-06,NA,280,Value inconsistent with related field.,Switzerland
7,1111,Bellinzona,Adverse Events,age,Missing data,Open,Monitor,2025-08-18,NA,56,"Field left empty, please verify.",Switzerland
8,1055,Olten,Adverse Events,ae_severity,Out of range,Closed,Monitor,2025-02-17,2025-03-10,21,Value appears out of expected range.,Switzerland
9,1008,Bern,Demographics,weight,Incorrect date,Closed,Data Manager,2025-04-12,2025-04-19,7,Date seems inconsistent with visit schedule.,Switzerland
10,1075,Paris,Vitals,bp_dia,Out of range,Closed,Monitor,2025-09-25,2025-10-08,13,Value appears out of expected range.,France
11,1067,Basel,Vitals,lab_hb,Logic discrepancy,Open,Data Manager,2025-06-23,NA,112,Value inconsistent with related field.,Switzerland
12,1004,Verona,Demographics,ae_term,Missing data,Open,System Check,2025-02-08,NA,247,"Field left empty, please verify.",Italy
13,1101,Berlin,Visit CRF,weight,Out of range,Answered,Monitor,2025-01-14,NA,272,Value appears out of expected range.,Germany
14,1081,Bellinzona,Demographics,weight,Out of range,Answered,System Check,2025-04-04,NA,192,Value appears out of expected range.,Switzerland
15,1030,Olten,Labs,ae_term,Missing data,Open,Data Manager,2025-05-21,NA,145,"Field left empty, please verify.",Switzerland
16,1111,Bern,Labs,lab_hb,Out of range,Closed,Data Manager,2025-04-05,2025-04-18,13,Value appears out of expected range.,Switzerland
17,1048,Sion,Vitals,bp_dia,Out of range,Open,Data Manager,2025-03-24,NA,203,Value appears out of expected range.,Switzerland
18,1013,Lugano,Adverse Events,age,Out of range,Open,Data Manager,2025-01-08,NA,278,Value appears out of expected range.,Switzerland
19,1004,Verona,Visit CRF,ae_severity,Out of range,Open,Monitor,2025-01-11,NA,275,Value appears out of expected range.,Italy
20,1042,Aarau,Demographics,lab_hb,Out of range,Open,Data Manager,2025-05-12,NA,154,Value appears out of expected range.,Switzerland
21,1037,Lausanne,Visit CRF,bp_dia,Out of range,Closed,Data Manager,2025-07-25,2025-08-21,27,Value appears out of expected range.,Switzerland
22,1028,Fribourg,Visit CRF,weight,Text clarification,Closed,Monitor,2025-07-10,2025-08-05,26,Please clarify the text entry.,Switzerland
23,1043,Basel,Vitals,ae_severity,Incorrect date,Open,Data Manager,2025-03-30,NA,197,Date seems inconsistent with visit schedule.,Switzerland
24,1047,Lugano,Vitals,ae_severity,Logic discrepancy,Answered,Monitor,2025-03-24,NA,203,Value inconsistent with related field.,Switzerland
25,1067,Basel,Labs,lab_ast,Missing data,Closed,Data Manager,2025-03-23,2025-03-31,8,"Field left empty, please verify.",Switzerland
26,1051,St. Gallen,Vitals,bp_dia,Text clarification,Answered,System Check,2025-08-08,NA,66,Please clarify the text entry.,Switzerland
27,1035,Bern,Vitals,height,Missing data,Open,Monitor,2025-02-19,NA,236,"Field left empty, please verify.",Switzerland
28,1042,Sion,Vitals,lab_glucose,Logic discrepancy,Closed,Data Manager,2025-03-10,2025-03-22,12,Value inconsistent with related field.,Switzerland
29,1016,Aarau,Con Meds,ae_severity,Missing data,Closed,Data Manager,2025-08-22,2025-09-05,14,"Field left empty, please verify.",Switzerland
30,1106,Bern,Labs,bp_sys,Logic discrepancy,Closed,System Check,2025-07-26,2025-08-14,19,Value inconsistent with related field.,Switzerland
31,1092,Amiens,Adverse Events,lab_ast,Incorrect date,Closed,System Check,2025-01-07,2025-01-13,6,Date seems inconsistent with visit schedule.,France
32,1109,Olten,Labs,lab_hb,Missing data,Answered,System Check,2025-02-07,NA,248,"Field left empty, please verify.",Switzerland
33,1017,Berlin,Demographics,gender,Out of range,Closed,Data Manager,2025-04-07,2025-04-26,19,Value appears out of expected range.,Germany
34,1028,Verona,Labs,bp_dia,Out of range,Open,System Check,2025-03-14,NA,213,Value appears out of expected range.,Italy
35,1116,Bern,Adverse Events,weight,Missing data,Open,Monitor,2025-03-15,NA,212,"Field left empty, please verify.",Switzerland
36,1063,Bellinzona,Vitals,ae_term,Missing data,Answered,Monitor,2025-01-18,NA,268,"Field left empty, please verify.",Switzerland
37,1103,Bern,Adverse Events,bp_sys,Out of range,Closed,Monitor,2025-02-13,2025-02-21,8,Value appears out of expected range.,Switzerland
38,1054,St. Gallen,Labs,gender,Out of range,Answered,Data Manager,2025-09-23,NA,20,Value appears out of expected range.,Switzerland
39,1041,Neuchâtel,Adverse Events,age,Missing data,Open,Monitor,2025-09-23,NA,20,"Field left empty, please verify.",Switzerland
40,1010,Amiens,Visit CRF,age,Text clarification,Closed,Monitor,2025-08-04,2025-08-12,8,Please clarify the text entry.,France
41,1030,Lausanne,Labs,lab_hb,Missing data,Open,Data Manager,2025-04-24,NA,172,"Field left empty, please verify.",Switzerland
42,1046,Olten,Adverse Events,bp_sys,Out of range,Answered,Data Manager,2025-09-04,NA,39,Value appears out of expected range.,Switzerland
43,1028,Lausanne,Con Meds,height,Text clarification,Closed,Data Manager,2025-08-29,2025-08-30,1,Please clarify the text entry.,Switzerland
44,1114,Neuchâtel,Visit CRF,age,Out of range,Answered,Data Manager,2025-07-02,NA,103,Value appears out of expected range.,Switzerland
45,1030,Geneva,Con Meds,lab_hb,Out of range,Closed,System Check,2025-05-21,2025-05-27,6,Value appears out of expected range.,Switzerland
46,1058,Paris,Con Meds,lab_hb,Logic discrepancy,Answered,Monitor,2025-04-25,NA,171,Value inconsistent with related field.,France
47,1110,Fribourg,Adverse Events,gender,Missing data,Answered,Data Manager,2025-09-10,NA,33,"Field left empty, please verify.",Switzerland
48,1053,Basel,Demographics,gender,Logic discrepancy,Answered,Data Manager,2025-09-06,NA,37,Value inconsistent with related field.,Switzerland
49,1115,Verona,Visit CRF,lab_hb,Out of range,Closed,Monitor,2025-09-21,2025-10-19,28,Value appears out of expected range.,Italy
50,1079,Baden,Demographics,ae_term,Out of range,Answered,Data Manager,2025-08-17,NA,57,Value appears out of expected range.,Switzerland
51,1018,Aarau,Visit CRF,weight,Out of range,Open,Data Manager,2025-01-04,NA,282,Value appears out of expected range.,Switzerland
52,1052,Geneva,Con Meds,bp_sys,Missing data,Open,Data Manager,2025-07-13,NA,92,"Field left empty, please verify.",Switzerland
53,1016,Amiens,Vitals,ae_start,Out of range,Open,Data Manager,2025-09-05,NA,38,Value appears out of expected range.,France
54,1045,Lausanne,Vitals,ae_term,Incorrect date,Closed,Monitor,2025-02-25,2025-03-07,10,Date seems inconsistent with visit schedule.,Switzerland
55,1004,Zurich,Vitals,gender,Out of range,Open,Monitor,2025-03-22,NA,205,Value appears out of expected range.,Switzerland
56,1070,Basel,Visit CRF,gender,Logic discrepancy,Answered,Monitor,2025-02-22,NA,233,Value inconsistent with related field.,Switzerland
57,1033,Geneva,Adverse Events,bp_sys,Missing data,Closed,Monitor,2025-01-08,2025-01-25,17,"Field left empty, please verify.",Switzerland
58,1112,St. Gallen,Labs,bp_dia,Incorrect date,Answered,Data Manager,2025-06-22,NA,113,Date seems inconsistent with visit schedule.,Switzerland
59,1090,Zurich,Visit CRF,bp_sys,Out of range,Answered,Monitor,2025-01-02,NA,284,Value appears out of expected range.,Switzerland
60,1105,Solothurn,Vitals,lab_glucose,Logic discrepancy,Closed,Monitor,2025-04-12,2025-04-19,7,Value inconsistent with related field.,Switzerland
61,1063,Zurich,Adverse Events,lab_glucose,Missing data,Open,Data Manager,2025-08-31,NA,43,"Field left empty, please verify.",Switzerland
62,1066,Verona,Adverse Events,bp_sys,Text clarification,Answered,Data Manager,2025-06-02,NA,133,Please clarify the text entry.,Italy
63,1093,Basel,Demographics,weight,Out of range,Answered,Monitor,2025-08-08,NA,66,Value appears out of expected range.,Switzerland
64,1059,Lausanne,Vitals,lab_glucose,Text clarification,Closed,System Check,2025-08-26,2025-09-16,21,Please clarify the text entry.,Switzerland
65,1057,Fribourg,Adverse Events,ae_term,Missing data,Answered,Monitor,2025-08-07,NA,67,"Field left empty, please verify.",Switzerland
66,1021,Olten,Visit CRF,ae_severity,Logic discrepancy,Closed,Data Manager,2025-03-04,2025-03-28,24,Value inconsistent with related field.,Switzerland
67,1024,Sion,Adverse Events,age,Missing data,Closed,Monitor,2025-08-01,2025-08-27,26,"Field left empty, please verify.",Switzerland
